index,name,genre,rating,country,score,company,writer,director,hit rate,zscore,robust,minmax
5138,The Clan of the Cave Bear,-0.309665462,2.325789922,0.620879471,-0.360205084,-0.035145094,-0.048044793,-0.034068356,0.1302488,-0.0357792649,-0.578421185,1.01E-05
5139,Where the Day Takes You,-0.351868288,2.325789922,0.620879471,-0.194991932,-0.040465048,-0.048044793,-0.039006645,0.130050667,-0.0357803408,-0.578488513,1.01E-05
5140,"Blood In, Blood Out",-0.351868288,2.325789922,0.620879471,0.239000825,-0.035543379,-0.047628098,-0.029398817,0.1284738,-0.0357889039,-0.579024353,9.97E-06
5141,The Last of the Finest,-0.320349722,2.325789922,0.620879471,-0.310887725,-0.036112358,-0.048044793,-0.036419922,0.127624083,-0.0357935182,-0.579313098,9.90E-06
5142,A Dirty Shame,-0.2824206,-0.651127171,0.620879471,-0.255405697,-0.038615866,-0.041627686,-0.036419922,0.127611067,-0.0357935889,-0.579317521,9.90E-06
5143,Sky Bandits,-0.320349722,-0.418807081,-0.210621479,-0.240610489,-0.042484924,-0.048044793,-0.039006645,0.127527778,-0.0357940412,-0.579345824,9.89E-06
5144,Robot Jox,-0.320349722,-0.418807081,0.620879471,-0.360205084,-0.038473622,-0.010292204,-0.03648711,0.1272977,-0.0357952906,-0.579424008,9.87E-06
5145,Owning Mahowny,-0.351868288,2.325789922,0.10786627,-0.134578168,0.03768423,-0.048044793,-0.039006645,0.1271244,-0.0357962317,-0.579482897,9.86E-06
5146,The King of Comedy,-0.2824206,-0.418807081,0.620879471,0.336402609,-0.041716803,-0.048044793,-0.033060542,0.1268121,-0.0357979276,-0.579589021,9.84E-06
5147,Surviving Picasso,-0.332102407,2.325789922,0.620879471,-0.245542225,-0.042115088,-0.048044793,-0.033228511,0.12633425,-0.0358005225,-0.579751401,9.80E-06
5148,Dangerous Game,-0.278146896,2.325789922,-0.435660727,-0.333080537,-0.042484924,-0.047128064,-0.037562111,0.126121,-0.0358016806,-0.579823866,9.78E-06
5149,Jimmy Hollywood,-0.351868288,2.325789922,0.620879471,-0.356506282,-0.039924518,-0.036544004,-0.03030585,0.1261001,-0.0358017941,-0.579830968,9.78E-06
5150,Paradise Road,-0.278146896,2.325789922,0.002975095,-0.155538045,-0.042484924,-0.048044793,-0.028088658,0.12544375,-0.0358053583,-0.580054005,9.73E-06
5151,The Night Flier,-0.342252454,2.325789922,0.620879471,-0.313353593,-0.042484924,-0.023959808,-0.039006645,0.125397,-0.0358056122,-0.580069891,9.73E-06
5152,The Grey Zone,-0.278146896,2.325789922,0.620879471,-0.156770979,-0.041603007,-0.048128132,-0.032758197,0.1243184,-0.0358114695,-0.580436413,9.64E-06
5153,Detroit Rock City,-0.2824206,2.325789922,0.620879471,0.086117013,-0.023566369,-0.048128132,-0.039040239,0.124032794,-0.0358130204,-0.580533466,9.62E-06
5154,The Fall,-0.309665462,2.325789922,0.620879471,-0.095124281,-0.042513373,-0.032127035,-0.032926166,0.1223155,-0.0358223461,-0.581117026,9.49E-06
5155,Life of Crime,-0.2824206,2.325789922,0.620879471,-0.310887725,-0.042513373,-0.048128132,-0.039040239,0.121389583,-0.0358273742,-0.581431665,9.42E-06
5156,Birdy,-0.278146896,2.325789922,0.620879471,-0.161702715,-0.042428026,-0.043877841,-0.035949609,0.12125375,-0.0358281118,-0.581477822,9.40E-06
5157,Farewell to the King,-0.320349722,-0.471047245,0.620879471,7.213708296,-0.042513373,-0.048128132,-0.034202731,0.12104585,-0.0358292408,-0.58154847,9.39E-06
5158,Eye See You,-0.351868288,2.325789922,-0.410868268,-0.356506282,-0.031019995,-0.048128132,-0.026845688,0.120588782,-0.0358317229,-0.581703787,9.35E-06
5159,Hurlyburly,-0.2824206,2.325789922,0.620879471,-0.320751197,-0.03742101,-0.048128132,-0.039040239,0.1205336,-0.0358320225,-0.581722539,9.35E-06
5160,No Good Deed,-0.351868288,2.325789922,-0.410868268,-0.360205084,-0.042029741,-0.048128132,-0.037226173,0.120054417,-0.0358346247,-0.581885372,9.31E-06
5161,"Yes, Giorgio",-0.2824206,-0.418807081,0.620879471,-0.463771538,-0.036510644,-0.048128132,-0.039006645,0.119975947,-0.0358350508,-0.581912037,9.31E-06
5162,Fat Man and Little Boy,-0.332102407,-0.471047245,0.620879471,1.875104204,-0.031332934,-0.04129433,-0.036823048,0.118772067,-0.0358415884,-0.582321131,9.21E-06
5163,Night of the Creeps,-0.2824206,2.325789922,0.620879471,-0.155538045,-0.034206278,-0.025709928,-0.038401957,0.1182732,-0.0358442975,-0.582490653,9.17E-06
5164,Code 46,-0.278146896,2.325789922,-0.210621479,-0.27513264,-0.037307215,-0.048128132,-0.039006645,0.118135733,-0.035845044,-0.582537366,9.16E-06
5165,Twelfth Night,-0.2824206,-0.418807081,0.781076902,-0.114851224,-0.039725376,-0.031793679,-0.039208208,0.1177242,-0.0358472788,-0.58267721,9.13E-06
5166,The Squeeze,-0.320349722,-0.471047245,0.620879471,-0.282530244,-0.034206278,-0.048128132,-0.039040239,0.117313211,-0.0358495106,-0.58281687,9.10E-06
5167,How I Live Now,-0.320349722,2.325789922,-0.210621479,1.875104204,-0.041716803,-0.048128132,-0.028525378,0.11572025,-0.0358581611,-0.583358179,8.98E-06
5168,Little Nikita,-0.278146896,-0.418807081,0.620879471,-0.313353593,-0.032357096,-0.045294605,-0.033497261,0.115538,-0.0358591508,-0.58342011,8.96E-06
5169,Dead Man,-0.309665462,2.325789922,0.620879471,0.126803834,-0.042513373,-0.010125526,-0.023721464,0.115316333,-0.0358603545,-0.583495436,8.94E-06
5170,Tapeheads,-0.2824206,2.325789922,0.620879471,-0.196224866,-0.036510644,-0.048211471,-0.039073833,0.114595333,-0.0358642698,-0.583740441,8.89E-06
5171,Mishima: A Life in Four Chapters,-0.332102407,2.325789922,0.620879471,0.239000825,-0.040920232,-0.035043902,-0.036083984,0.1139992,-0.0358675071,-0.583943015,8.84E-06
5172,Inchon,-0.278146896,-0.418807081,-0.058052498,-0.483498481,-0.042541822,-0.048211471,-0.039073833,0.113064913,-0.0358725807,-0.584260498,8.77E-06
5173,The House of the Devil,3.623744767,2.325789922,0.620879471,-0.245542225,-0.042541822,-0.048211471,-0.039073833,0.112461111,-0.0358758596,-0.584465678,8.72E-06
5174,The Nutcracker,0.651917916,-0.127165229,0.620879471,-0.320751197,-0.042541822,-0.048211471,-0.002187835,0.111578632,-0.0358806518,-0.584765556,8.65E-06
5175,Cats Don't Dance,-0.263723145,-0.127165229,0.620879471,0.086117013,-0.040777987,-0.039960905,-0.03507617,0.111457406,-0.0358813101,-0.584806751,8.64E-06
5176,Machine Gun Preacher,-0.320349722,2.325789922,0.620879471,-0.155538045,-0.034376972,-0.048211471,-0.029298035,0.111289667,-0.035882221,-0.584863751,8.63E-06
