name,genre,rating,country,score,company,writer,director,hit rate,zscore,robust,minmax,tier
Life or Something Like It,-0.2824206,-0.471047245,0.620879471,-0.310887725,-0.036226154,-0.045627961,-0.030070693,0.421816775,-0.0342509863,-0.480550393,3.27E-05,5
Celebrity,-0.2824206,2.325789922,0.620879471,7.213708296,-0.0417737,-0.033710477,-0.033362886,0.423221667,-0.0342433544,-0.480073119,3.28E-05,5
Immediate Family,-0.278146896,-0.471047245,0.620879471,-0.313353593,-0.032357096,-0.045627961,-0.036554297,0.423758071,-0.0342404404,-0.47989089,3.29E-05,5
The Quiet,-0.351868288,2.325789922,0.620879471,-0.27513264,-0.038018438,-0.045627961,-0.035109764,0.4238,-0.0342402126,-0.479876646,3.29E-05,5
Heartbreak Hotel,-0.2824206,-0.471047245,0.620879471,-0.196224866,-0.039952967,-0.018042736,-0.016162858,0.423801308,-0.0342402055,-0.479876201,3.29E-05,5
Ghost in the Machine,3.623744767,2.325789922,0.620879471,-0.240610489,-0.033495055,0.001291924,-0.035244139,0.423909083,-0.03423962,-0.479839588,3.29E-05,5
Bad Lieutenant: Port of Call New Orleans,-0.351868288,2.325789922,0.620879471,-0.194991932,-0.039440886,-0.045627961,-0.037528518,0.42425688,-0.0342377307,-0.479721433,3.29E-05,5
Rush,-0.320349722,2.325789922,0.620879471,-0.155538045,-0.036510644,-0.045544622,-0.037998831,0.425961765,-0.034228469,-0.479142245,3.30E-05,5
Instinct,-0.278146896,2.325789922,0.620879471,-0.194991932,-0.034803706,-0.031376983,-0.024023808,0.426315088,-0.0342265496,-0.479022213,3.31E-05,5
The Company,-0.278146896,-0.471047245,0.620879471,7.213708296,-0.039099499,-0.045544622,-0.035210545,0.4276678,-0.0342192011,-0.478562665,3.32E-05,5
Village of the Damned,3.623744767,2.325789922,0.620879471,-0.196224866,-0.031019995,-0.045544622,-0.02916366,0.4281075,-0.0342168125,-0.478413289,3.32E-05,5
Willard,-0.278146896,-0.471047245,0.10786627,-0.318285329,-0.023566369,-0.025793267,-0.034706638,0.4282293,-0.0342161508,-0.478371911,3.32E-05,5
Same Kind of Different as Me,-0.332102407,-0.471047245,0.620879471,-0.194991932,-0.041631456,-0.045544622,-0.037998831,0.428240333,-0.0342160909,-0.478368163,3.32E-05,5
Stay Tuned,-0.309665462,-0.418807081,0.620879471,-0.27513264,-0.039014152,-0.02554325,-0.035176951,0.42945604,-0.0342094867,-0.477955159,3.33E-05,5
Who's That Girl,-0.2824206,-0.418807081,0.620879471,-0.35897215,-0.041403864,-0.045544622,-0.032153509,0.429718176,-0.0342080626,-0.477866106,3.33E-05,5
Firestorm,-0.320349722,2.325789922,0.620879471,-0.35897215,-0.033495055,-0.045544622,-0.037998831,0.429748,-0.0342079006,-0.477855974,3.33E-05,5
Drowning Mona,-0.2824206,-0.471047245,0.620879471,-0.196224866,-0.041631456,-0.028293439,-0.037528518,0.430002811,-0.0342065164,-0.477769409,3.34E-05,5
Gettysburg,-0.278146896,-0.418807081,0.620879471,0.126803834,-0.041631456,-0.044877909,-0.038334769,0.4307984,-0.0342021944,-0.477499129,3.34E-05,5
Mighty Aphrodite,-0.2824206,2.325789922,0.620879471,-0.156770979,-0.0417737,-0.033710477,-0.033362886,0.4312332,-0.0341998324,-0.477351417,3.35E-05,5
Black Dog,-0.320349722,-0.471047245,0.620879471,-0.360205084,-0.031019995,-0.045544622,-0.034908201,0.431702933,-0.0341972806,-0.477191838,3.35E-05,5
Peaceful Warrior,-0.278146896,-0.471047245,0.620879471,-0.161702715,-0.041631456,-0.045544622,-0.028256628,0.4326927,-0.0341919038,-0.476855592,3.36E-05,5
The Blob,3.623744767,2.325789922,0.620879471,1.875104204,-0.034206278,-0.045544622,-0.021672242,0.434102263,-0.0341842464,-0.476376731,3.37E-05,5
Mr. Nanny,-0.320349722,-0.418807081,0.620879471,-0.46747034,-0.023566369,-0.027376709,-0.030003505,0.4348572,-0.0341801453,-0.476120261,3.37E-05,5
The Mambo Kings,-0.278146896,2.325789922,-0.294534419,-0.245542225,-0.040834885,-0.045544622,-0.037998831,0.434978581,-0.0341794859,-0.476079026,3.37E-05,5
Super Mario Bros.,-0.309665462,-0.418807081,-0.210621479,-0.368835622,-0.038502071,-0.044711231,-0.037965237,0.435738854,-0.0341753558,-0.475820743,3.38E-05,5
Demolition,-0.2824206,2.325789922,0.620879471,-0.156770979,-0.041603007,-0.045461283,-0.02607303,0.436646,-0.0341704278,-0.475512565,3.39E-05,5
Wild Target,-0.320349722,-0.471047245,-0.210621479,-0.155538045,-0.041603007,-0.029460185,-0.033262104,0.43676925,-0.0341697583,-0.475470694,3.39E-05,5
Brian Banks,-0.332102407,-0.471047245,0.620879471,-0.114851224,-0.041603007,-0.037377395,-0.027047251,0.4376819,-0.0341648004,-0.475160646,3.40E-05,5
Charlie Bartlett,-0.2824206,2.325789922,0.620879471,-0.156770979,-0.036510644,-0.042711094,-0.037965237,0.4379155,-0.0341635313,-0.475081287,3.40E-05,5
Maniac,3.623744767,-0.558023904,-0.294534419,-0.318285329,-0.041603007,-0.039044176,-0.037091798,0.438545833,-0.0341601071,-0.474867148,3.40E-05,5
Edtv,-0.2824206,-0.471047245,0.620879471,-0.318285329,-0.036681338,-0.045461283,-0.027987877,0.440536213,-0.0341492945,-0.474190971,3.42E-05,5
Under the Skin,-0.278146896,2.325789922,-0.210621479,7.213708296,-0.041716803,-0.045461283,-0.036688672,0.44108188,-0.0341463303,-0.474005595,3.42E-05,5
Something Wicked This Way Comes,-0.342252454,-0.418807081,0.620879471,-0.155538045,-0.039526233,-0.046711368,-0.037965237,0.442105263,-0.0341407708,-0.473657928,3.43E-05,5
