name,genre,rating,country,score,company,writer,director,hit rate
Chariots of Fire,0.023473559,0.261430325,0.104909213,0.062312668,0.000464687,0.000915786,0.000318842,10.78242891
Absence of Malice,0.036792826,0.261430325,0.251513114,0.088026503,0.00028626,0.000524411,0.000290914,3.39308025
Tarzan the Ape Man,0.029012264,0.494246606,0.251513114,0.030288689,0.000172997,0.000870925,0.000267641,5.625427692
Victory,0.036792826,0.261430325,0.104909213,0.037703108,0.000256005,0.000168616,5.82E-05,1.0853418
Arthur,0.035737835,0.261430325,0.251513114,0.088026503,0.000183858,0.002110021,0.001058153,13.63738314
History of the World: Part I,0.035737835,1,0.251513114,0.088026503,0.000105505,0.000182538,0.000109384,2.879355182
The Howling,1,1,0.251513114,0.052058684,0.000437535,0.002782939,0.000343667,17.985893
Dragonslayer,0.026374786,0.261430325,0.104909213,0.037703108,0.000314188,0.000120661,0.00011016,0.783889611
Cutter's Way,0.018594224,1,0.251513114,0.088026503,4.50E-05,8.97E-05,4.50E-05,0.584211333
Quest for Fire,0.029012264,1,0.161062542,0.056318031,0.00013033,0.000259885,0.000128778,1.6770092
The Final Conflict,1,1,0.104909213,0.034390282,0.000255229,0.000451705,0.000165239,4.0942764
Mommie Dearest,0.023473559,1,0.251513114,0.037703108,0.000314188,0.000589383,0.000295569,3.8064522
Private Lessons,0.035737835,1,0.251513114,0.042120208,0.00072845,0.001036447,0.00072845,9.385357143
The Postman Always Rings Twice,0.018594224,1,0.039677202,0.052058684,7.99E-05,0.000207289,5.12E-05,1.031385417
Deadly Blessing,1,1,0.251513114,0.034390282,0.000515888,0.000512036,0.00033203,3.3116168
Eyewitness,0.018594224,1,0.251513114,0.03691434,0.000255229,0.00011602,4.73E-05,0.752941176
Outland,0.026374786,1,0.104909213,0.052058684,0.000256005,9.90E-05,9.85E-05,1.085912188
S.O.B.,0.035737835,1,0.251513114,0.045590787,9.62E-05,0.000188726,8.84E-05,1.238923833
The Beyond,1,1,0.065232011,0.057106799,2.40E-05,4.80E-05,2.40E-05,0.3096075
One from the Heart,0.036792826,1,0.251513114,0.31692696,5.28E-05,3.09E-06,0.00013033,0.024492154
True Confessions,0.018594224,1,0.251513114,1,0.000257556,0.000199555,7.68E-05,1.2850276
Nighthawks,0.026374786,1,0.251513114,0.045590787,0.000322721,0.000615681,0.000338236,3.9810718
Neighbors,0.035737835,1,0.251513114,0.034390282,0.00028626,0.000544522,0.000309533,3.519553765
Wolfen,1,1,0.251513114,1,0.000183858,7.89E-05,4.89E-05,0.625101471
Prince of the City,0.018594224,1,0.251513114,0.062154914,0.000183858,0.000145412,8.53E-05,0.944681047
Eyes of a Stranger,1,1,0.251513114,0.03691434,0.000743189,0.001452573,0.000111711,1.3982925
Under the Rainbow,0.035737835,0.261430325,0.251513114,0.030919703,7.29E-05,0.000145412,7.68E-05,0.9413245
